tweet_id,img_num,breed,timestamp,rating_numerator,rating_denominator,name,dog_nickname,favorite_count,retweet_count
677565715327688705,1,basset,2015-12-17 19:07:09,6,10,Contortionist,none,1187,409
677644091929329666,1,Chihuahua,2015-12-18 00:18:36,11,10,none,none,1704,725
677673981332312066,1,Maltese_dog,2015-12-18 02:17:22,9,10,Endangered,none,3025,1344
677687604918272002,1,Pembroke,2015-12-18 03:11:30,11,10,Cindy,none,2249,751
677698403548192770,1,Shih-Tzu,2015-12-18 03:54:25,9,10,Sadie,none,1117,286
677700003327029250,1,Siberian_husky,2015-12-18 04:00:46,10,10,Ralph,none,3103,1285
677895101218201600,1,dalmatian,2015-12-18 16:56:01,9,10,Guys,none,4380,1836
677918531514703872,1,Eskimo_dog,2015-12-18 18:29:07,10,10,How,none,1216,364
678021115718029313,1,miniature_pinscher,2015-12-19 01:16:45,12,10,Reese,none,12326,5604
678255464182861824,1,Chihuahua,2015-12-19 16:47:58,9,10,Jessifer,none,1447,327
678278586130948096,1,Maltese_dog,2015-12-19 18:19:51,10,10,none,pupper,10384,5468
678334497360859136,1,Norfolk_terrier,2015-12-19 22:02:01,10,10,Rosie,none,1180,222
678341075375947776,1,golden_retriever,2015-12-19 22:28:09,12,10,none,pupper,1570,471
678380236862578688,1,Samoyed,2015-12-20 01:03:46,10,10,Crumpet,none,2228,821
678389028614488064,1,miniature_pinscher,2015-12-20 01:38:42,11,10,Bella,pupper,1708,380
678396796259975168,2,Pembroke,2015-12-20 02:09:34,12,10,none,none,1451,373
678399652199309312,1,Bedlington_terrier,2015-12-20 02:20:55,12,10,none,none,73180,28459
678410210315247616,1,schipperke,2015-12-20 03:02:53,10,10,Jerome,none,3816,1606
678424312106393600,1,Maltese_dog,2015-12-20 03:58:55,2,10,Crystal,none,4981,2262
678446151570427904,1,Staffordshire_bullterrier,2015-12-20 05:25:42,10,10,none,none,3648,1370
678643457146150913,1,Labrador_retriever,2015-12-20 18:29:43,10,10,Grizz,none,1870,359
678740035362037760,1,beagle,2015-12-21 00:53:29,6,10,Tango,none,3387,1484
678755239630127104,1,malamute,2015-12-21 01:53:54,10,10,Dash,none,6460,2917
678764513869611008,1,Irish_terrier,2015-12-21 02:30:45,10,10,Wilson,none,1477,413
678774928607469569,1,Pembroke,2015-12-21 03:12:08,11,10,Tug,none,2567,818
678798276842360832,1,Airedale,2015-12-21 04:44:55,7,10,Linda,none,3155,1024
678800283649069056,1,Labrador_retriever,2015-12-21 04:52:53,12,10,Snazzy,pupper,2349,816
678969228704284672,1,Labrador_retriever,2015-12-21 16:04:13,11,10,Lola,none,1497,408
678991772295516161,1,Eskimo_dog,2015-12-21 17:33:48,12,10,none,none,2062,1014
679047485189439488,1,golden_retriever,2015-12-21 21:15:11,9,10,Quite,none,2051,585
679062614270468097,2,schipperke,2015-12-21 22:15:18,11,10,Chompsky,none,15440,7177
679111216690831360,1,kelpie,2015-12-22 01:28:25,12,10,none,none,5410,2300
679132435750195208,1,Scottish_deerhound,2015-12-22 02:52:45,10,10,Louis,none,2691,1034
679148763231985668,1,Italian_greyhound,2015-12-22 03:57:37,8,10,none,none,2549,919
679158373988876288,1,pug,2015-12-22 04:35:49,11,10,Rubio,none,19362,7215
679462823135686656,1,toy_poodle,2015-12-23 00:45:35,11,10,Hurley,none,29287,16932
679475951516934144,1,Maltese_dog,2015-12-23 01:37:45,9,10,Evy,none,1915,578
679511351870550016,1,Chihuahua,2015-12-23 03:58:25,7,10,William,none,3058,1142
679530280114372609,1,dalmatian,2015-12-23 05:13:38,7,10,Guys,none,4351,1876
679722016581222400,1,boxer,2015-12-23 17:55:32,8,10,Mike,none,1535,424
679729593985699840,1,West_Highland_white_terrier,2015-12-23 18:25:38,8,10,Hunter,none,1988,746
679736210798047232,1,French_bulldog,2015-12-23 18:51:56,9,10,Sabertooth,none,1906,713
679777920601223168,1,bloodhound,2015-12-23 21:37:40,10,10,Rinna,pupper,2851,991
